UID,NOTES,Latitude,Longitude,ACRES,PROJECT_TYPE_2,POPUP NAME,POLYGON_LAYER_ID,TYPE,ORIGIN,ORIGIN_2,ORIGIN_3,Project_Status,STAT_NUM,STAT_DESCRP,DESCRIPTION,IMPACT,DISCUSSION,WATER_DELIVERY,STUDIES_PROJECTS,ESTB_PTOTO,ADDL_RESOURCES,ADDL_PHOTOS
11,,37.42058,-118.3789447,638,Revegetation,640 Acres Near Laws Revegetation,640 Acres near Laws,"Potential Mitigation Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=202"">EIR Impact 10-18</a>",,,Not fully implemented,50,"The Standing Committee has not evaluated the need for mitigation of these dispersed areas. The total area available for revegetation has been reduced by about 275 acres due to an expanded gravel mining operation, and the transfer of Type E lands along Jean Blanc Road. Center pivot irrigation in this area covered about 130 acres of denuded soil with crops.","Six sites in the Laws wellfield were identified in the EIR as candidates for “selective mitigation.” Past, and in some cases, present impacts to these sites include a combination of groundwater pumping, abandoned agriculture, water spreading, fires, and “other factors.”",Implementation would mitigate damages caused to vegetation by lowering of the water table and by wildfires.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/d18355417351498c972f3d6c74c4563d/data,,
12,,36.61470941,-118.0640636,12,Agriculture,Lone Pine East Side Regreening,East Side Regreening,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=200"">EIR Impact 10-16</a>",,Implemented and ongoing,50,Water is provided to maintain pasture and sustain trees. ,This land was not successfully revegetated following the abandonment of agriculture. This was a significant adverse impact because these lands had a loss of vegetation and were the source of blowing dust. ,Revegetation of abandoned agricultural lands in areas near town. Enhances landscape aesthetics near town.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/0062e9310c2046a4ad4e682270791d3a/data,"<a href=""https://www.dropbox.com/sh/fd2a5odlcxu5oli/AACIjv5VKRQI2Mnrb905vpaHa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/kptph3nsbfek91k/AAC7OryLaw68IeumuQsWYEqra?dl=0
13,,36.61239946,-118.0637765,13,Agriculture,Lone Pine Woodlot,Woodlot,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=196"">EIR Impact 10-11</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>",,Implemented and ongoing,50,"The Lone Pine Wood Lot was initially planted in 1987. The woodlot was planted at a high density with the intent of thinning to a 12‐foot spacing after planting success was determined. Over time, this high density of trees resulted in reduced growth and increased competition. While the hybrid poplar portions of the wood lots have been harvested several times since project implementation, the locust portions of the wood lots had never been harvested until 2015‐2016 when approximately 130 cords of wood were harvested and distributed by the Lone Pine Future Farmers of America (FFA). The FFA holds the woodlot lease and manages the distribution of wood. Recurring drought stress has resulted in dieback of cottonwood. Many of the larger trees show dieback. ",This formerly irrigated land had not successfully revegetated following the abandonment of agriculture. This was a significant adverse impact because these lands had a loss of vegetation and were the source of blowing dust. ,Revegetation of abandoned agricultural lands in areas near town. Enhances landscape aesthetics in the town of Lone Pine. Provides sustainable fuelwood. ,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/64a0cc1bb4d542e4ac103972530b98b9/data,"<a href=""https://www.dropbox.com/sh/ec4do2oc7fy0jqc/AAD8lSizZGcHq7sfT4NtDjf-a?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/2snp9gcse3vevqs/AAA_GAOF9VnOtgJWtny5sN06a?dl=0
14,,36.6106619,-118.063485,16,Recreation,Lone Pine Sports Complex,Sports Complex,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>",,,Completed,100,"The complex includes 3 irrigated ball fields and two multipurpose fields, with an irrigated area totaling 12.5 acres. Asphalt replaced the former dirt parking area in 2013 and 139 parking spaces were outlined.","This recreation project converted portions of the Lo-Inyo Elementary School and vacant LADWP property to an outdoor sports complex consisting of baseball fields, soccer fields, parking, and picnic and park areas.",Community enhancement.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/4b7d39cbdef8490b971dbdd0fec46cc8/data,"<a href=""https://www.dropbox.com/sh/ubf2pxyhiseom9v/AAC1I19FZoULNYRIytqvElNWa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/royn2xipzqcvxv8/AADNmxIiE2J0o4AaLr38Qy9ua?dl=0
15,,36.61220297,-118.0557558,189,Agriculture,Richards Field,Richards Field,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=200"">EIR Impact 10-16</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>",,Implemented and ongoing,50,"Irrigation is consistently provided to develop and sustain pasture grasslands. LADWP, in their annual Owens Valley Report, lists water use for this project and Richards Field together. Water use records for these projects include conveyance losses.",This formerly irrigated land had not successfully revegetated following the abandonment of agriculture. This was a significant adverse impact because these lands had lost vegetation and were the source of blowing dust.,Revegetation of abandoned agricultural lands in areas near town.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/5e80e21fda8e46aabe59b97d4ac547f0/data,"<a href=""https://www.dropbox.com/sh/s8clc17u8enj2sw/AAClenXr_Id2Z_G8on6zQZKca?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/hpwv9ltlz2pqlq3/AABT6M-_nZkNB6tj38APIT80a?dl=0
16,,36.60409055,-118.0486508,171,Agriculture,Van Norman Field,Van Norman Field,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=200"">EIR Impact 10-16</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>",,Implemented and ongoing,50,"In 2013, as part of an E/M evaluation, Inyo County and LADWP agreed to expand the project to include irrigating an adjacent 10-acre parcel operated as a school farm by Lone Pine High School. On April 29, 2014, the Standing Committee agreed to modify the Van Norman Field Enhancement/Mitigation (E/M) Project by adding approximately ten acres of the Lone Pine High School Farm on to the Van Norman Field E/M Project. The total acreage of the modified Van Norman Field E/M Project is now 170 acres. The additional acres provide for irrigated pasture. The total annual water supply for the project will remain 480 acre-feet, which will result in an annual water distribution within the project boundaries of approximately 2.8 acre-feet per acre.",This agricultural project provides surface and pumped water to establish pastureland and increase livestock grazing capabilities on abandoned agricultural land.,Enhances the aesthetics of abandoned agricultural or pasture lands in areas around the town.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/8a98078b58d94410a90d78e76b3ec884/data,"<a href=""https://www.dropbox.com/sh/mnj68n732bem5kk/AAC20G85kOpPXx6npshsCoMga?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/bzb23076e1w47r1/AACFc2tLd5_5UNvsIBQE32OQa?dl=0
17,,36.60453737,-118.0666236,8,Agriculture,Lone Pine West Side Regreening,West Side Regreening,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=200"">EIR Impact 10-16</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>",Implemented and ongoing,50,The field is managed to grow pasture and is actively maintained under private lease. It is meeting project objectives.,This formerly irrigated land had not successfully revegetated following the abandonment of agriculture. This was a significant adverse impact because these lands had lost vegetation and were the source of blowing dust.,Enhances the aesthetics of abandoned agricultural or pasture lands in areas around the town. Prevents blowing dust.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/443897f9f17b405c986f21f4b76f9a2f/data,"<a href=""https://www.dropbox.com/sh/4rk3t1o1vno0371/AABAcX4buM_znrEIRqI5eBW7a?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/5sx9abne2yc0svr/AABa-VP37Zwb6OFyzowLtu1la?dl=0
18,,36.6085379,-118.0653276,2,Civic,Lone Pine Riparian Park,Riparian Park,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>",,Implemented and ongoing,50,"LADWP, in their annual Owens Valley Report, lists water use for this project and Richards Field together. Water use records for these projects include conveyance losses.",This civic project provides a continuous water supply to a ditch running through Russell Spainhower Park then east under the highway to supply water to Lone Pine Woodlot and Richards and Van Norman Fields projects.,Provides aesthetic improvement to the town park.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/cc57d42e69e74899899fc43be473f787/data,"<a href=""https://www.dropbox.com/sh/a4j5ivgqed4dikz/AACuiMFICOngZB1_cTi30Czma?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/kj4vtfe3xbxf4qa/AACGkCiBCWJWJ58jUxHYen9ga?dl=0
19,,36.80228976,-118.2041763,2,Civic,Eastern California Museum,Eastern California Museum,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>",,Implemented and ongoing,50,Flooding in 2017 resulted in natural stream alteration. LADWP is maintaining water infrastructure. The project is meeting objectives.  ,"This civic project encompasses the creation of a small pond, trees, expanded lawn areas, and installation of an irrigation system. ",Irrigation enhances the appearance of the Eastern California Museum.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/a861c2be5df24ab39819cdc836f4773b/data,"<a href=""https://www.dropbox.com/sh/2lefvkgrkwjmgxf/AADEd9XOs1nDhSmiFj_dkWcVa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/m7thx33yi94nvxj/AAA3qR_Tpq7w74u8J2pzDM-Ra?dl=0
20,,36.79761855,-118.197479,2,Civic,Independence Roadside Rest Area,Roadside Rest Area,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>",,Implemented and ongoing,50,The project is well-maintained and meeting objectives.,"This civic project consisted of planting and maintaining shade and windbreak trees and grass, installation of an irrigation system, and placement of picnic table and restroom facilities on a 1/2-acre site at the south entrance of the town of Independence along Highway 395.",Aesthetic improvement of a previously blighted area.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/fe2a3bdaf6c44ae8a612e69c951f9323/data,"<a href=""https://www.dropbox.com/sh/hvgqk2h8g86xfqp/AADq_YaWgr3XOjEnQUGlvrfxa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/vgre1s9d3llukhe/AACoCVLsjh-O-ZdaMPK_Qc1va?dl=0
21,,36.80629356,-118.193184,21,Agriculture,Independence Woodlot,Woodlot,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=196"">EIR Impact 10-11</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>",,Implemented and ongoing,50,"The Lone Pine High School, Future Farmers of America, is managing the woodlot project, with some wood going to area residents and excess wood being sold in Lone Pine to support FFA activities. An operations plan is needed based on management guidelines agreed to by Inyo Co. and LADWP. Recurring drought stress has resulted in dieback of cottonwood. Many of the larger trees show dieback. LADWP had thinned the trees in 2016-17.",This agricultural project provides a greenbelt which is harvested as sustainable source of firewood for those in need.,Enhances the aesthetics of abandoned agricultural or pasture lands due to groundwater pumping.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/9da4150834ff432da41f4549b54c4afb/data,"<a href=""https://www.dropbox.com/sh/rxrfaxvkx9vssz9/AAD17fxxdowiYm_kc99muGjAa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/wqe4ts1aiktexr6/AADGPk2Uf0yj98JOdM_8t43Ba?dl=0
22,,36.80632103,-118.1962324,27,Agriculture,Independence Eastside Regreening,Independance Eastside Regreening ,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=196"">EIR Impact 10-11</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>",,Implemented and ongoing,50,The project has resulted in a mix of desirable native pasture species and invasive species. The weeds have been decreasing year-to-year.  ,This formerly irrigated land had not successfully revegetated following the abandonment of agriculture. The fallow field was a source of blowing dust in town.,Enhances the aesthetics of abandoned agricultural or pasture lands in areas around the town.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/0781a8223bc64900bc8f77ac121382bd/data,"<a href=""https://www.dropbox.com/sh/85zg63mupiuc0a4/AADiofR5lCciA0-Ia3Z-ClAPa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/72hbooympsah54q/AABCOvy7--5192T0qupeL3aPa?dl=0
23,,36.80540819,-118.1772448,284,Agriculture,Independence Springfield,Independence Springfield,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=205"">EIR Impact 12-1</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>",Implemented and ongoing,50,"This enhancement mitigation project is implemented to mitigate vegetation lost through water drawdown associated with groundwater pumping adjacent to independence. The project, operated under lease, is achieving goals. ","This agricultural project, east of Independence, was implemented to revegetate barren or near-barren ground with native pasture. ",Reduces the negative impacts on air quality resulting from groundwater pumping and surface water diversion during the period 1970 to 1990.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/4c060a2eeb1f4726b0ad3ef1f201e753/data,"<a href=""https://www.dropbox.com/sh/ubewvrzb5ljr1qn/AACjdb8CIL42kYSObthFRfbXa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/o4rn2cnr4jyk6y1/AABsCLaXttx8qS5wiB2_dKwPa?dl=0
